metric,model,mean_baseline,mean_rag,mean_difference,median_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,scenarios_improved,scenarios_worsened,scenarios_unchanged,test_used,raw_p_value,holm_adjusted_p_value,raw_p_value_display,holm_adjusted_p_value_display
mean_ground_truth_indicator_recall,gemma3:12b,0.03,0.2417,0.2117,0.0,0.095,0.3417,8,0,12,wilcoxon,0.00975,0.04874,0.010,0.049
mean_ground_truth_indicator_recall,gpt-oss:20b,0.005,0.1333,0.1283,0.0,0.03,0.25,6,0,14,wilcoxon,0.02728,0.08184,0.027,0.082
mean_ground_truth_indicator_recall,llama3,0.0,0.2,0.2,0.0,0.075,0.325,7,0,13,wilcoxon,0.01141,0.04874,0.011,0.049
mean_ground_truth_indicator_recall,qwen3:8b,0.05,0.125,0.075,0.0,0.0,0.15,3,0,17,wilcoxon,0.08326,0.16653,0.083,0.167
mean_ground_truth_indicator_f1,deepseek-r1:8b,0.0,0.0933,0.0933,0.0,0.0,0.1933,3,0,17,wilcoxon,0.10247,0.20494,0.102,0.205
mean_ground_truth_indicator_f1,gemma3:12b,0.04,0.2042,0.1642,0.0,0.0717,0.2692,8,0,12,wilcoxon,0.01121,0.05605,0.011,0.056
mean_ground_truth_indicator_f1,gpt-oss:20b,0.0067,0.135,0.1283,0.0,0.035,0.2367,6,0,14,wilcoxon,0.02728,0.08184,0.027,0.082
mean_ground_truth_indicator_f1,llama3,0.0,0.2042,0.2042,0.0,0.0792,0.3375,7,0,13,wilcoxon,0.01406,0.05623,0.014,0.056
mean_ground_truth_indicator_f1,qwen3:8b,0.0667,0.15,0.0833,0.0,-0.0083,0.1917,3,1,16,wilcoxon,0.14077,0.20494,0.141,0.205
mean_latency,deepseek-r1:8b,5.8499,5.0491,-0.8009,-0.7245,-1.1267,-0.4953,3,17,0,wilcoxon,0.00021,0.00105,< 0.001,0.001
mean_latency,gemma3:12b,10.8429,11.1555,0.3127,0.5275,-0.2612,0.7494,15,5,0,wilcoxon,0.03623,0.07247,0.036,0.072
mean_latency,gpt-oss:20b,12.2192,17.4869,5.2677,4.7945,3.2576,7.32,15,5,0,wilcoxon,0.00032,0.00129,< 0.001,0.001
mean_latency,llama3,5.0066,5.2698,0.2633,0.2315,0.1386,0.3913,17,3,0,wilcoxon,0.00048,0.00145,< 0.001,0.001
mean_latency,qwen3:8b,4.754,4.8304,0.0764,0.0785,-0.0087,0.1578,12,8,0,wilcoxon,0.08255,0.08255,0.083,0.083
latency_coefficient_of_variation,deepseek-r1:8b,0.0454,0.0678,0.0224,0.023,0.0101,0.0347,15,5,0,wilcoxon,0.00315,0.00631,0.003,0.006
latency_coefficient_of_variation,gemma3:12b,0.0482,0.1149,0.0667,0.0705,0.0554,0.0765,19,1,0,wilcoxon,0.0,2e-05,< 0.001,< 0.001
latency_coefficient_of_variation,gpt-oss:20b,0.0603,0.1214,0.0611,0.0526,0.0376,0.0855,18,2,0,wilcoxon,0.00017,0.00067,< 0.001,< 0.001
latency_coefficient_of_variation,llama3,0.0539,0.0609,0.0069,0.0105,-0.0069,0.0178,16,4,0,wilcoxon,0.03999,0.03999,0.040,0.040
latency_coefficient_of_variation,qwen3:8b,0.0443,0.0778,0.0335,0.0357,0.0198,0.0502,17,3,0,wilcoxon,0.00045,0.00135,< 0.001,0.001
